imedreg,imedreg_codepopulacao,incidencia_normalizada,regiao,cluster
Feira de Santana,290029,1235784.0604499998,-0.19612031725513854,nordeste,0
Jacobina,290030,318908.05842,-0.4575431519975321,nordeste,0
Itaberaba,290031,217208.981881,0.10436337027189599,nordeste,0
Conceição do Coité,290032,192721.90131999998,0.14408698625306987,nordeste,0
Serrinha,290033,188895.1299,0.6553831550728401,nordeste,0
Seabra,290034,176917.79693,-0.3638851895030502,nordeste,0
Belo Horizonte,310001,5302661.613623001,-1.1260901383102278,sudeste,3
Sete Lagoas,310002,414784.14420100005,-1.1260901383102278,sudeste,3
Santa Bárbara - Ouro Preto,310003,259941.603071,-1.1260901383102278,sudeste,3
Curvelo,310004,184938.06675999996,-1.1260901383102278,sudeste,3
Itabira,310005,156708.129292,-1.1260901383102278,sudeste,3
Montes Claros,310006,772503.515917,-1.1260901383102278,sudeste,3
Janaúba,310007,222460.21700499998,-1.1260901383102278,sudeste,3
Salinas,310008,192580.832348,-1.1260901383102278,sudeste,3
Januária,310009,150628.74508,-1.1260901383102278,sudeste,3
Pirapora,310010,147491.22293500003,-1.1260901383102278,sudeste,3
São Francisco,310011,116369.90954,-1.1260901383102278,sudeste,3
Espinosa,310012,95914.98229,-1.1260901383102278,sudeste,3
Teófilo Otoni,310013,490239.30398100003,-1.1260901383102278,sudeste,3
Capelinha,310014,178218.62567,-1.1260901383102278,sudeste,3
Almenara,310015,169968.86164000002,-1.1260901383102278,sudeste,3
Diamantina,310016,125470.937976,-1.1260901383102278,sudeste,3
Araçuaí,310017,108053.927453,-1.1260901383102278,sudeste,3
Pedra Azul,310018,92450.358212,-1.1260901383102278,sudeste,3
Águas Formosas,310019,50874.08342899999,-1.1260901383102278,sudeste,3
Governador Valadares,310020,449625.61725700006,-1.1260901383102278,sudeste,3
Guanhães,310021,192563.19338,-1.1260901383102278,sudeste,3
Mantena,310022,64555.720241,-1.1260901383102278,sudeste,3
Aimorés - Resplendor,310023,58250.58644,-1.1260901383102278,sudeste,3
Ipatinga,310024,648876.4022819999,-1.1260901383102278,sudeste,3
Caratinga,310025,231827.03051900002,-1.1260901383102278,sudeste,3
João Monlevade,310026,148813.19643,-1.1260901383102278,sudeste,3
Juiz de Fora,310027,746206.3141799999,-1.1260901383102278,sudeste,3
Manhuaçu,310028,352970.67047899996,-1.1260901383102278,sudeste,3
Ubá,310029,288143.317461,-1.1260901383102278,sudeste,3
Ponte Nova,310030,179575.350045,-1.1260901383102278,sudeste,3
Muriaé,310031,184863.501644,-1.1260901383102278,sudeste,3
Cataguases,310032,180524.02673000004,-1.1260901383102278,sudeste,3
Viçosa,310033,168880.87934999997,-1.1260901383102278,sudeste,3
Carangola,310034,111822.93782600001,-1.1260901383102278,sudeste,3
São João Nepomuceno - Bicas,310035,72341.76615899999,-1.1260901383102278,sudeste,3
Além Paraíba,310036,56592.475901000005,-1.1260901383102278,sudeste,0
Barbacena,310037,236771.582069,-1.1260901383102278,sudeste,3
Conselheiro Lafaiete,310038,351752.384952,-1.1260901383102278,sudeste,3
São João del Rei,310039,186840.932844,-1.1260901383102278,sudeste,3
Varginha,310040,202407.797326,-1.1260901383102278,sudeste,3
Passos,310041,267128.45035400003,-1.1260901383102278,sudeste,3
Alfenas,310042,258663.18437899995,-1.1260901383102278,sudeste,3
