imedreg,imedreg_codepopulacao,prevalencia_normalizada,regiao,cluster
Telêmaco Borba,410028,190498.32052999997,0.8398068134183626,sul,0
Irati,410029,155233.04812999998,-0.4232977502090183,sul,0
Florianópolis,420001,1156318.073962,2.825812331648147,sul,1
Criciúma,420002,436943.85003800003,2.4810281973173556,sul,1
Tubarão,420003,321275.15853799996,3.0857421342420444,sul,1
Araranguá,420004,199339.350779,1.833776379846627,sul,1
Lages,420005,282419.368602,1.4952041037595742,sul,1
Curitibanos,420006,68873.72662899998,-0.17786288837565933,sul,2
Chapecó,420007,415514.7823769999,2.421381614705258,sul,1
Joaçaba - Herval d'Oeste,420008,177772.522683,2.4135274049827538,sul,1
São Miguel do Oeste,420009,163672.588356,0.5632375346572075,sul,1
Concórdia,420010,137754.40194799998,2.1974963192052392,sul,1
Xanxerê,420011,129804.767413,2.0652777381421177,sul,1
Maravilha,420012,52543.352625,1.25697074513438,sul,0
São Lourenço do Oeste,420013,42214.26332300001,-0.38391378177799973,sul,2
Caçador,420014,104941.68953599999,-0.5429499139979541,sul,0
Videira,420015,128583.28165600002,1.2150884668998845,sul,0
Joinville,420016,1029540.1583550001,2.0429690356492323,sul,1
Mafra,420017,234930.639212,-0.3550045683028878,sul,0
São Bento do Sul - Rio Negrinho,420018,135877.113,-0.21629343317491304,sul,2
